Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
J,"Zhang, Xixin; Yang, Yuhang; Li, Zhiyong; Ning, Xin; Qin, Yilang; Cai, Weiwei",,,,"Ning, Xin/M-9479-2018; Cai, Weiwei/AAH-5456-2020","Ning, Xin/0000-0001-7897-1673; Cai, Weiwei/0000-0001-6795-6152; li, zhiyong/0000-0003-2402-7657",,,An Improved Encoder-Decoder Network Based on Strip Pool Method Applied to Segmentation of Farmland Vacancy Field,,,,,,,,ENTROPY,,,,23,4,,,,,435,10.3390/e23040435,,,,APR 2021,2021,"In the research of green vegetation coverage in the field of remote sensing image segmentation, crop planting area is often obtained by semantic segmentation of images taken from high altitude. This method can be used to obtain the rate of cultivated land in a region (such as a country), but it does not reflect the real situation of a particular farmland. Therefore, this paper takes low-altitude images of farmland to build a dataset. After comparing several mainstream semantic segmentation algorithms, a new method that is more suitable for farmland vacancy segmentation is proposed. Additionally, the Strip Pooling module (SPM) and the Mixed Pooling module (MPM), with strip pooling as their core, are designed and fused into the semantic segmentation network structure to better extract the vacancy features. Considering the high cost of manual data annotation, this paper uses an improved ResNet network as the backbone of signal transmission, and meanwhile uses data augmentation to improve the performance and robustness of the model. As a result, the accuracy of the proposed method in the test set is 95.6%, mIoU is 77.6%, and the error rate is 7%. Compared to the existing model, the mIoU value is improved by nearly 4%, reaching the level of practical application.",,,,,,,,,35,0,0,0,0,0,35,,,,1099-4300,,WOS:000642950300001,33917753,
J,"Kervadec, Hoel; Bouchtiba, Jihene; Desrosiers, Christian; Granger, Eric; Dolz, Jose; Ben Ayed, Ismail",,,,,,,,Boundary loss for highly unbalanced segmentation,,,,,,,,MEDICAL IMAGE ANALYSIS,,,,67,,,,,,101851,10.1016/j.media.2020.101851,,,,JAN 2021,2021,"Widely used loss functions for CNN segmentation, e.g., Dice or cross-entropy, are based on integrals over the segmentation regions. Unfortunately, for highly unbalanced segmentations, such regional summations have values that differ by several orders of magnitude across classes, which affects training performance and stability. We propose a boundary loss, which takes the form of a distance metric on the space of contours, not regions. This can mitigate the difficulties of highly unbalanced problems because it uses integrals over the interface between regions instead of unbalanced integrals over the regions. Furthermore, a boundary loss complements regional information. Inspired by graph-based optimization techniques for computing active-contour flows, we express a non-symmetric L-2 distance on the space of contours as a regional integral, which avoids completely local differential computations involving contour points. This yields a boundary loss expressed with the regional softmax probability outputs of the network, which can be easily combined with standard regional losses and implemented with any existing deep network architecture for N-D segmentation. We report comprehensive evaluations and comparisons on different unbalanced problems, showing that our boundary loss can yield significant increases in performances while improving training stability. Our code is publicly available(1). (C) 2020 Elsevier B.V. All rights reserved.",,,,,,,,,35,0,0,0,7,0,35,,,1361-8415,1361-8423,,WOS:000598892100002,33080507,
J,"Liu, Qinghui; Kampffmeyer, Michael; Jenssen, Robert; Salberg, Arnt-Borre",,,,,"Jenssen, Robert/0000-0002-7496-8474; Kampffmeyer, Michael/0000-0002-7699-0405; Liu, Qinghui/0000-0002-3334-8631",,,Dense Dilated Convolutions Merging Network for Land Cover Classification,,,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,58,9,,,6309,6320,,10.1109/TGRS.2020.2976658,,,,SEPT 2020,2020,"Land cover classification of remote sensing images is a challenging task due to limited amounts of annotated data, highly imbalanced classes, frequent incorrect pixel-level annotations, and an inherent complexity in the semantic segmentation task. In this article, we propose a novel architecture called the dense dilated convolutions merging network (DDCM-Net) to address this task. The proposed DDCM-Net consists of dense dilated image convolutions merged with varying dilation rates. This effectively utilizes rich combinations of dilated convolutions that enlarge the networks receptive fields with fewer parameters and features compared with the state-of-the-art approaches in the remote sensing domain. Importantly, DDCM-Net obtains fused local- and global-context information, in effect incorporating surrounding discriminative capability for multiscale and complex-shaped objects with similar color and textures in very high-resolution aerial imagery. We demonstrate the effectiveness, robustness, and flexibility of the proposed DDCM-Net on the publicly available ISPRS Potsdam and Vaihingen data sets, as well as the DeepGlobe land cover data set. Our single model, trained on three-band Potsdam and Vaihingen data sets, achieves better accuracy in terms of both mean intersection over union (mIoU) and F1-score compared with other published models trained with more than three-band data. We further validate our model on the DeepGlobe data set, achieving state-of-the-art result 56.2% mIoU with much fewer parameters and at a lower computational cost compared with related recent work.",,,,,,,,,34,1,0,0,0,0,35,,,0196-2892,1558-0644,,WOS:000564455700023,,
J,"Won, Jong; Czerniawski, Thomas; Leite, Fernanda",,,,"Leite, Fernanda/AAT-2099-2021","Leite, Fernanda/0000-0002-7789-4474; Czerniawski, Thomas/0000-0002-7310-6522",,,Semantic segmentation of point clouds of building interiors with deep learning: Augmenting training datasets with synthetic BIM-based point clouds,,,,,,,,AUTOMATION IN CONSTRUCTION,,,,113,,,,,,103144,10.1016/j.autcon.2020.103144,,,,MAY 2020,2020,"This paper investigates the viability of using synthetic point clouds generated from building information models (BIMs) to train deep neural networks to perform semantic segmentation of point clouds of building interiors. In order to achieve these goals, this paper first presents a procedure for converting digital 3D BIMs into synthetic point clouds using three commercially available software systems. Then the generated synthetic point clouds are used to train a deep neural network. Semantic segmentation performance is compared for several models trained on: real point clouds, synthetic point clouds, and combinations of real and synthetic point clouds. A key finding is the 7.1% IOU boost in performance achieved when a small real point cloud dataset is augmented by synthetic point clouds for training, as compared to training the classifier on the real data alone. The experimental results confirmed the viability of using synthetic point clouds generated from building information models in combination with small datasets of real point clouds. This opens up the possibility of developing a segmentation model for building interiors that can be applied to as-built modeling of buildings that contain unseen indoor structures.",,,,,,,,,34,1,0,0,0,0,35,,,0926-5805,1872-7891,,WOS:000526785700032,,
J,"Feng, Xue; Tustison, Nicholas J.; Patel, Sohil H.; Meyer, Craig H.",,,,,,,,Brain Tumor Segmentation Using an Ensemble of 3D U-Nets and Overall Survival Prediction Using Radiomic Features,,,,,,,,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,,,,14,,,,,,25,10.3389/fncom.2020.00025,,,,APR 8 2020,2020,"Accurate segmentation of different sub-regions of gliomas such as peritumoral edema, necrotic core, enhancing, and non-enhancing tumor core from multimodal MRI scans has important clinical relevance in diagnosis, prognosis and treatment of brain tumors. However, due to the highly heterogeneous appearance and shape of these tumors, segmentation of the sub-regions is challenging. Recent developments using deep learning models has proved its effectiveness in various semantic and medical image segmentation tasks, many of which are based on the U-Net network structure with symmetric encoding and decoding paths for end-to-end segmentation due to its high efficiency and good performance. In brain tumor segmentation, the 3D nature of multimodal MRI poses challenges such as memory and computation limitations and class imbalance when directly adopting the U-Net structure. In this study we aim to develop a deep learning model using a 3D U-Net with adaptations in the training and testing strategies, network structures, and model parameters for brain tumor segmentation. Furthermore, instead of picking one best model, an ensemble of multiple models trained with different hyper-parameters are used to reduce random errors from each model and yield improved performance. Preliminary results demonstrate the effectiveness of this method and achieved the 9th place in the very competitive 2018 Multimodal Brain Tumor Segmentation (BraTS) challenge. In addition, to emphasize the clinical value of the developed segmentation method, a linear model based on the radiomics features extracted from segmentation and other clinical features are developed to predict patient overall survival. Evaluation of these innovations shows high prediction accuracy in both low-grade glioma and glioblastoma patients, which achieved the 1st place in the 2018 BraTS challenge.",,,,,,,,,34,1,0,0,5,0,35,,,,1662-5188,,WOS:000529224500001,32322196,
J,"Bulens, Philippe; Couwenberg, Alice; Intven, Martijn; Debucquoy, Annelies; Vandecaveye, Vincent; Van Cutsem, Eric; D'Hoore, Andre; Wolthuis, Albert; Mukherjee, Pritam; Gevaert, Olivier; Haustermans, Karin",,,,"Van+Cutsem, Eric/ABE-1762-2021; Gevaert, Olivier/H-3413-2019; Haustermans, Karin/AAB-5912-2021; Mukherjee, Pritam/AAL-6003-2021; Intven, Martijn/Z-1746-2018","Gevaert, Olivier/0000-0002-9965-5466; Haustermans, Karin/0000-0003-0364-682X; Bulens, Philippe/0000-0001-7450-4162; Intven, Martijn/0000-0002-5068-5517",,,Predicting the tumor response to chemoradiotherapy for rectal cancer: Model development and external validation using MRI radiomics,,,,,,,,RADIOTHERAPY AND ONCOLOGY,,,,142,,,,246,252,,10.1016/j.radonc.2019.07.033,,,,JAN 2020,2020,"Background: In well-responding patients to chemoradiotherapy for locally advanced rectal cancer (LARC), a watch-and-wait strategy can be considered. To implement organ-sparing strategies, accurate patient selection is needed. We investigate the use of MRI-based radiomics models to predict tumor response to improve patient selection.Materials and methods: Models were developed in a cohort of 70 patients and validated in an external cohort of 55 patients. Patients received chemoradiation followed by surgery and underwent T2-weighted and diffusion-weighted MRI (DW-MRI) before and after chemoradiation. The outcome measure was (near-)complete pathological tumor response (ypT0-1N0). Tumor segmentation was done on T2-images and transferred to b800-images and ADC maps, after which quantitative and four semantic features were extracted. We combined features using principal component analysis and built models using LASSO regression analysis. The best models based on precision and performance were selected for validation.Results: 21/70 patients (30%) achieved ypT0-1N0 in the development cohort versus 13/55 patients (24%) in the validation cohort. Three models (t2_dwi_pre_post, semantic_dwi_adc_pre, semantic_dwi_post) were identified with an area-under-the-curve (AUC) of 0.83 (95% CI 0.70-0.95), 0.86 (95% CI 0.75-0.98) and 0.84 (95% CI 0.75-0.94) respectively. Two models (t2_dwi_pre_post, semantic_dwi_post) validated well in the external cohort with AUCs of 0.83 (95% CI 0.70-0.95) and 0.86 (95% CI 0.76-0.97). These models however did not outperform a previously established four-feature semantic model.Conclusion: Prediction models based on MRI radiomics non-invasively predict tumor response after chemoradiation for rectal cancer and can be used as an additional tool to identify patients eligible for an organ-preserving treatment. (C) 2019 Elsevier B.V. All rights reserved.",,,,,,,,,30,5,0,0,5,0,35,,,0167-8140,1879-0887,,WOS:000510015800033,31431368,
J,"Zhu, Qing; Liao, Cheng; Hu, Han; Mei, Xiaoming; Li, Haifeng",,,,"Hu, Han/V-5068-2018","Hu, Han/0000-0003-1137-2208; Li, Haifeng/0000-0003-1173-6593",,,MAP-Net: Multiple Attending Path Neural Network for Building Footprint Extraction From Remote Sensed Imagery,,,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,59,7,,,6169,6181,,10.1109/TGRS.2020.3026051,,,,JUL 2021,2021,"Building footprint extraction is a basic task in the fields of mapping, image understanding, computer vision, and so on. Accurately and efficiently extracting building footprints from a wide range of remote sensed imagery remains a challenge due to the complex structures, variety of scales, and diverse appearances of buildings. Existing convolutional neural network (CNN)-based building extraction methods are criticized for their inability to detect tiny buildings because the spatial information of CNN feature maps is lost during repeated pooling operations of the CNN. In addition, large buildings still have inaccurate segmentation edges. Moreover, features extracted by a CNN are always partially restricted by the size of the receptive field, and large-scale buildings with low texture are always discontinuous and holey when extracted. To alleviate these problems, multiscale strategies are introduced in the latest research works to extract buildings with different scales. The features with higher resolution generally extracted from shallow layers, which extracted insufficient semantic information for tiny buildings. This article proposes a novel multiple attending path neural network (MAP-Net) for accurately extracting multiscale building footprints and precise boundaries. Unlike existing multiscale feature extraction strategies, MAP-Net learns spatial localization-preserved multiscale features through a multiparallel path in which each stage is gradually generated to extract high-level semantic features with fixed resolution. Then, an attention module adaptively squeezes the channel-wise features extracted from each path for optimized multiscale fusion, and a pyramid spatial pooling module captures global dependence for refining discontinuous building footprints. Experimental results show that our method achieved 0.88%, 0.93%, and 0.45% F1-score and 1.53%, 1.50%, and 0.82% intersection over union (IoU) score improvements without increasing computational complexity compared with the latest HRNetv2 on the Urban 3-D, Deep Globe, and WHU data sets, respectively. Specifically, MAP-Net outperforms multiscale aggregation fully convolutional network (MA-FCN), which is the state-of-the-art (SOTA) algorithms with postprocessing and model voting strategies, on the WHU data set without pretraining and postprocessing. The TensorFlow implementation is available at https://github.com/lehaifeng/MAPNet.",,,,,,,,,33,1,0,0,0,0,34,,,0196-2892,1558-0644,,WOS:000665167500054,,
J,"Majeed, Yaqoob; Zhang, Jing; Zhang, Xin; Fu, Longsheng; Karkee, Manoj; Zhang, Qin; Whiting, Matthew D.",,,,"Fu, Longsheng/AAB-5720-2022; Majeed, Yaqoob/AAM-2712-2020; Zhang, Qin/AAM-2009-2020","Fu, Longsheng/0000-0003-3253-2637; Majeed, Yaqoob/0000-0003-1782-3436; Zhang, Qin/0000-0002-6121-6513",,,Deep learning based segmentation for automated training of apple trees on trellis wires,,,,,,,,COMPUTERS AND ELECTRONICS IN AGRICULTURE,,,,170,,,,,,105277,10.1016/j.compag.2020.105277,,,,MAR 2020,2020,"Trellised fruiting-wall training systems are becoming standard for modern apple orchards due to their high fruit yield and quality, and their suitability to robotic operations in pruning and harvesting. In a common practice of training young apple trees to a trellis-trained canopy system in PNW region of US, trees branches are manually selected and then tied to horizontal trellis wires in 6 or 7 tiers. As manual training of apple trees to these modern orchard architectures is becoming challenging due to less availability of skilled human labor with quickly increased labor cost, automated training using sensing and robotic techniques could be an alternative solution. Segmenting trunks, branches, and trellis wires is a critical step in automating a tree training operation. In this study, a deep learning-based semantic segmentation method was developed for automatically performing this segmentation task. A Kinect V2 sensor was used to obtain the RGB and point cloud data of target trees. Then both Simple- and Foreground-RGB images were used for training a convolutional neural network (CNN)-based segmentation network (SegNet) to segment the trunk, branch, and trellis wire. Trunks and branches, which share some common features, were segmented from each other with accuracies of 0.82 and 0.89 for Simple-RGB images and 0.91 and 0.92 for Foreground-RGB images, respectively. Similarly, trellis wires, which have distinct features from both the trunk and branches, were segmented with accuracies of 0.92 and 0.97 for the Simple- and Foreground-RGB images, respectively. Obtained results showed that the performance of the developed semantic segmentation technique was better with Foreground-RGB images compared to the same with Simple-RGB images. Accuracy in identifying the segmented region boundaries in Foreground-RGB images, represented by the Boundary-F1 score, was 0.93, 0.89, and 0.91 for the trunk, branch, and trellis wire, respectively. These results showed a promising potential for adopting deep learning-based semantic segmentation for automating apple tree training in orchard environment.",,,,,,,,,33,1,0,0,22,0,34,,,0168-1699,1872-7107,,WOS:000519652000018,,
J,"Roy, Abhijit Guha; Siddiqui, Shayan; Poelsterl, Sebastian; Navab, Nassir; Wachinger, Christian",,,,,"Guha Roy, Abhijit/0000-0001-7221-468X; Polsterl, Sebastian/0000-0002-1607-7550",,,'Squeeze & excite' guided few-shot segmentation of volumetric images,,,,,,,,MEDICAL IMAGE ANALYSIS,,,,59,,,,,,101587,10.1016/j.media.2019.101587,,,,JAN 2020,2020,"Deep neural networks enable highly accurate image segmentation, but require large amounts of manually annotated data for supervised training. Few-shot learning aims to address this shortcoming by learning a new class from a few annotated support examples. We introduce, a novel few-shot framework, for the segmentation of volumetric medical images with only a few annotated slices. Compared to other related works in computer vision, the major challenges are the absence of pre-trained networks and the volumetric nature of medical scans. We address these challenges by proposing a new architecture for few-shot segmentation that incorporates 'squeeze & excite' blocks. Our two-armed architecture consists of a conditioner arm, which processes the annotated support input and generates a task-specific representation. This representation is passed on to the segmenter arm that uses this information to segment the new query image. To facilitate efficient interaction between the conditioner and the segmenter arm, we propose to use 'channel squeeze & spatial excitation' blocks - a light-weight computational module - that enables heavy interaction between both the arms with negligible increase in model complexity. This contribution allows us to perform image segmentation without relying on a pre-trained model, which generally is unavailable for medical scans. Furthermore, we propose an efficient strategy for volumetric segmentation by optimally pairing a few slices of the support volume to all the slices of the query volume. We perform experiments for organ segmentation on whole-body contrast-enhanced CT scans from the Visceral Dataset. Our proposed model outperforms multiple baselines and existing approaches with respect to the segmentation accuracy by a significant margin. The source code is available at https://github.comiabhi4ssj/few-shot-segmentation. (C) 2019 Elsevier B.V. All rights reserved.",,,,,,,,,34,0,0,0,6,0,34,,,1361-8415,1361-8423,,WOS:000501405800005,31630012,
C,"Tezcan, M. Ozan; Ishwar, Prakash; Konrad, Janusz",,,IEEE Comp Soc,,,,,BSUV-Net: A Fully-Convolutional Neural Network for Background Subtraction of Unseen Videos,,,,,,,,2020 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV),,IEEE Winter Conference on Applications of Computer Vision,,,,,,2763,2772,,,,,,2020,2020,"Background subtraction is a basic task in computer vision and video processing often applied as a pre-processing step for object tracking, people recognition, etc. Recently, a number of successful background-subtraction algorithms have been proposed, however nearly all of the top-performing ones are supervised. Crucially, their success relies upon the availability of some annotated frames of the test video during training. Consequently, their performance on completely unseen videos is undocumented in the literature. In this work, we propose a new, supervised, background-subtraction algorithm for unseen videos (BSUV-Net) based on a fully-convolutional neural network. The input to our network consists of the current frame and two background frames captured at different time scales along with their semantic segmentation maps. In order to reduce the chance of overfitting, we also introduce a new data-augmentation technique which mitigates the impact of illumination difference between the background frames and the current frame. On the CDNet-2014 dataset, BSUV-Net outperforms state-of-the-art algorithms evaluated on unseen videos in terms of several metrics including F-measure, recall and precision.",,,,,IEEE Winter Conference on Applications of Computer Vision (WACV)IEEE Winter Conference on Applications of Computer Vision (WACV),"MAR 01-05, 2020MAR 01-05, 2020",IEEEIEEE,"Snowmass, COSnowmass, CO",33,1,0,0,0,0,34,,,2472-6737,,978-1-7281-6553-0,WOS:000578444802087,,
J,"Ferreira, Matheus Pinheiro; Alves de Almeida, Danilo Roberti; Papa, Daniel de Almeida; Silva Minervino, Juliano Baldez; Pessoa Veras, Hudson Franklin; Formighieri, Arthur; Nascimento Santos, Caio Alexandre; Dantas Ferreira, Marcio Aurelio; Figueiredo, Evandro Orfano; Linhares Ferreira, Evandro Jose",,,,"Ferreira, Matheus/J-2389-2018; de Almeida, Danilo Roberti Alves/L-3044-2019","Ferreira, Matheus/0000-0003-0687-4422; de Almeida, Danilo Roberti Alves/0000-0002-8747-0085; Linhares Ferreira, Evandro Jose/0000-0001-9591-9615",,,Individual tree detection and species classification of Amazonian palms using UAV images and deep learning,,,,,,,,FOREST ECOLOGY AND MANAGEMENT,,,,475,,,,,,118397,10.1016/j.foreco.2020.118397,,,,NOV 1 2020,2020,"Information regarding the spatial distribution of palm trees in tropical forests is crucial for commercial exploitation and management. However, spatially continuous knowledge of palms occurrence is scarce and difficult to obtain with conventional approaches such as field inventories. Here, we developed a new method to map Amazonian palm species at the individual tree crown (ITC) level using RGB images acquired by a low-cost unmanned aerial vehicle (UAV). Our approach is based on morphological operations performed in the score maps of palm species derived from a fully convolutional neural network model. We first constructed a labeled dataset by dividing the study area (135 ha within an old-growth Amazon forest) into 28 plots of 250 m x 150 m. Then, we manually outlined all palm trees seen in RGB images with 4 cm pixels. We identified three palm species: Attalea butyracea, Euterpe precatoria and Iriartea deltoidea. We randomly selected 22 plots (80%) for training and six plots (20%) for testing. We changed the plots for training and testing to evaluate the variability in the classification accuracy and assess model generalization. Our method outperformed the average producer's accuracy of conventional patch-wise semantic segmentation (CSS) in 4.7%. Moreover, our method correctly identified, on average, 34.7 percentage points more ITCs than CSS, which tended to merge trees that are close to each other. The producer's accuracy of A. butyracea, E. precatoria and I. deltoidea was 78.6 +/- 5.5%, 98.6 +/- 1.4% and 96.6 +/- 3.4%, respectively. Fortunately, one of the most exploited and commercialized palm species in the Amazon (E. precatoria, a.k.a, Acai) was mapped with the highest classification accuracy. Maps of E. precatoria derived from low-cost UAV systems can support management projects and community-based forest monitoring programs in the Amazon.",,,,,,,,,33,0,0,0,6,0,33,,,0378-1127,1872-7042,,WOS:000581970500011,,
J,"Peng, Chengli; Ma, Jiayi",,,,"Ma, Jiayi/Y-2470-2019","Ma, Jiayi/0000-0003-3264-3265; Peng, Chengli/0000-0001-6042-3871",,,Semantic segmentation using stride spatial pyramid pooling and dual attention decoder,,,,,,,,PATTERN RECOGNITION,,,,107,,,,,,107498,10.1016/j.patcog.2020.107498,,,,NOV 2020,2020,"Semantic segmentation is an end-to-end task that requires both semantic and spatial accuracy. It is important for deep learning-based segmentation methods to effectively utilize the high-level feature map whose semantic information is abundant and the low-level feature map whose spatial information is accurate. However, existing segmentation networks typically cannot take full advantage of these two kinds of feature maps, leading to inferior performance. This paper attempts to overcome this challenge by introducing two novel structures. On the one hand, we propose a structure called stride spatial pyramid pooling (SSPP) to capture multiscale semantic information from the high-level feature map. Compared with existing pyramid pooling methods based on the atrous convolution, the SSPP structure is able to gather more information from the high-level feature map with faster inference speed, which improves the utilization efficiency of the high-level feature map significantly. On the other hand, we propose a dual attention decoder consisting of a channel attention branch and a spatial attention branch to make full use of the high- and low-level feature maps simultaneously. The dual attention decoder can result in a more semantic low-level feature map and a high-level feature map with more accurate spatial information, which bridges the gap between these two kinds of feature maps and benefits their fusion. We evaluate the proposed model on several publicly available semantic image segmentation benchmarks including PASCAL VOC 2012, Cityscapes and COCO-Stuff. The qualitative and quantitative results demonstrate that our method can achieve the state-of-the-art performance. (C) 2020 Elsevier Ltd. All rights reserved.",,,,,,,,,30,3,0,0,4,0,33,,,0031-3203,1873-5142,,WOS:000552866000039,,
J,"Peng, Jizong; Estrada, Guillermo; Pedersoli, Marco; Desrosiers, Christian",,,,,,,,Deep co-training for semi-supervised image segmentation,,,,,,,,PATTERN RECOGNITION,,,,107,,,,,,107269,10.1016/j.patcog.2020.107269,,,,NOV 2020,2020,"In this paper, we aim to improve the performance of semantic image segmentation in a semi-supervised setting where training is performed with a reduced set of annotated images and additional non-annotated images. We present a method based on an ensemble of deep segmentation models. Models are trained on subsets of the annotated data and use non-annotated images to exchange information with each other, similar to co-training. Diversity across models is enforced with the use of adversarial samples. We demonstrate the potential of our method on three challenging image segmentation problems, and illustrate its ability to share information between simultaneously trained models, while preserving their diversity. Results indicate clear advantages in terms of performance compared to recently proposed semi-supervised methods for segmentation. (C) 2020 Elsevier Ltd. All rights reserved.",,,,,,,,,30,3,0,0,7,0,33,,,0031-3203,1873-5142,,WOS:000552866000001,,
J,"Yekeen, Shamsudeen Temitope; Balogun, Abdul-Lateef; Yusof, Khamaruzaman B. Wan",,,,,,,,A novel deep learning instance segmentation model for automated marine oil spill detection,,,,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,167,,,,190,200,,10.1016/j.isprsjprs.2020.07.011,,,,SEP 2020,2020,"The visual similarity of oil slick and other elements, known as look-alike, affects the reliability of synthetic aperture radar (SAR) images for marine oil spill detection. So far, detection and discrimination of oil spill and look-alike are still limited to the use of traditional machine learning algorithms and semantic segmentation deep learning models with limited accuracy. Thus, this study developed a novel deep learning oil spill detection model using computer vision instance segmentation Mask-Region-based Convolutional Neural Network (Mask R-CNN) model. The model training was conducted using transfer learning on the ResNet 101 on COCO as backbone in combination with Feature Pyramid Network (FPN) architecture for feature extraction at 30 epochs with 0.001 learning rate. Testing of the model was conducted using the least training and validation loss value on the withheld testing images. The model's performance was evaluated using precision, recall, specificity, IoU, F1-measure and overall accuracy values. Ship detection and segmentation had the highest performance with overall accuracy of 98.3%. The model equally showed a higher accuracy for oil spill and look-alike detection and segmentation although oil spill detection outperformed look-alike with overall accuracy values of 96.6% and 91.0% respectively. The study concluded that the deep learning instance segmentation model performs better than conventional machine learning models and deep learning semantic segmentation models in detection and segmentation.",,,,,,,,,33,1,0,0,3,0,33,,,0924-2716,1872-8235,,WOS:000561346200014,,
J,"Hafiz, Abdul Mueed; Bhat, Ghulam Mohiuddin",,,,"Hafiz, Abdul Mueed/AAF-3806-2020","Hafiz, Abdul Mueed/0000-0002-2266-3708",,,A survey on instance segmentation: state of the art,,,,,,,,INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL,,,,9,3,,,171,189,,10.1007/s13735-020-00195-x,,JUL 2020,,SEP 2020,2020,"Object detection or localization is an incremental step in progression from coarse to fine digital image inference. It not only provides the classes of the image objects, but also provides the location of the image objects which have been classified. The location is given in the form of bounding boxes or centroids. Semantic segmentation gives fine inference by predicting labels for every pixel in the input image. Each pixel is labelled according to the object class within which it is enclosed. Furthering this evolution, instance segmentation gives different labels for separate instances of objects belonging to the same class. Hence, instance segmentation may be defined as the technique of simultaneously solving the problem of object detection as well as that of semantic segmentation. In this survey paper on instance segmentation, its background, issues, techniques, evolution, popular datasets, related work up to the state of the art and future scope have been discussed. The paper provides valuable information for those who want to do research in the field of instance segmentation.",,,,,,,,,32,0,1,0,3,0,33,,,2192-6611,2192-662X,,WOS:000545199700001,,
J,"Du, Getao; Cao, Xu; Liang, Jimin; Chen, Xueli; Zhan, Yonghua",,,,,"Liang, Jimin/0000-0003-1428-5804",,,Medical Image Segmentation based on U-Net: A Review,,,,,,,,JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,,,,64,2,,,,,20508,10.2352/J.ImagingSci.Technol.2020.64.2.020508,,,,MAR 2020,2020,"Medical image analysis is performed by analyzing images obtained by medical imaging systems to solve clinical problems. The purpose is to extract effective information and improve the level of clinical diagnosis. In recent years, automatic segmentation based on deep learning (DL) methods has been widely used, where a neural network can automatically learn image features, which is in sharp contrast with the traditional manual learning method. U-net is one of the most important semantic segmentation frameworks for a convolutional neural network (CNN). It is widely used in the medical image analysis domain for lesion segmentation, anatomical segmentation, and classification. The advantage of this network framework is that it can not only accurately segment the desired feature target and effectively process and objectively evaluate medical images but also help to improve accuracy in the diagnosis by medical images. Therefore, this article presents a literature review of medical image segmentation based on U-net, focusing on the successful segmentation experience of U-net for different lesion regions in six medical imaging systems. Along with the latest advances in DL, this article introduces the method of combining the original U-net architecture with deep learning and a method for improving the U-net network. (C) 2020 Society for Imaging Science and Technology.",,,,,,,,,32,1,0,0,5,0,33,,,1062-3701,1943-3522,,WOS:000534263600008,,
J,"Bueno, Gloria; Milagro Fernandez-Carrobles, M.; Gonzalez-Lopez, Lucia; Deniz, Oscar",,,,"Bueno, Gloria/K-6286-2014","Bueno, Gloria/0000-0002-7345-4869; Deniz, Oscar/0000-0002-0841-4131",,,Glomerulosclerosis identification in whole slide images using semantic segmentation,,,,,,,,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,,,184,,,,,,105273,10.1016/j.cmpb.2019.105273,,,,FEB 2020,2020,"Background and Objective: Glomeruli identification, i.e., detection and characterization, is a key procedure in many nephropathology studies. In this paper, semantic segmentation based on convolutional neural networks (CNN) is proposed to detect glomeruli using Whole Slide Imaging (WSI) follows by a classification CNN to divide the glomeruli into normal and sclerosed.Methods: Comparison between U-Net and SegNet CNNs is performed for pixel-level segmentation considering both a two and three class problem, that is, a) non-glomerular and glomerular structures and b) non-glomerular normal glomerular and sclerotic structures. The two class semantic segmentation result is then used for a CNN classification where glomerular regions are divided into normal and global sclerosed glomeruli.Results: These methods were tested on a dataset composed of 47 WSIs belonging to human kidney sections stained with Periodic Acid Schiff (PAS). The best approach was the SegNet for two class segmentation follows by a fine-tuned AlexNet network to characterize the glomeruli. 98.16% of accuracy was obtained with this process of consecutive CNNs (SegNet-AlexNet) for segmentation and classification.Conclusion: The results obtained demonstrate that the sequential CNN segmentation-classification strategy achieves higher accuracy reducing misclassified cases and therefore being the methodology proposed for glomerulosclerosis detection. (C) 2019 Elsevier B.V. All rights reserved.",,,,,,,,,33,0,0,0,12,0,33,,,0169-2607,1872-7565,,WOS:000513169400024,31891905,
